Feature, Handler, Value
KIND_HorizontalPodAutoscaler, KIND_HorizontalPodAutoscaler, HorizontalPodAutoscaler
KIND_MutatingWebhookConfiguration, KIND_MutatingWebhookConfiguration, MutatingWebhookConfiguration
KIND_ValidatingWebhookConfiguration, KIND_ValidatingWebhookConfiguration, ValidatingWebhookConfiguration
KIND_PodSchedulingContext, KIND_PodSchedulingContext, PodSchedulingContext
KIND_PodTemplate, KIND_PodTemplate, PodTemplate
KIND_PodDisruptionBudget, KIND_PodDisruptionBudget, PodDisruptionBudget
KIND_PriorityClass, KIND_PriorityClass, PriorityClass
KIND_ResourceClaim,KIND_ResourceClaim, ResourceClaim
KIND_ResourceClaimTemplate, KIND_ResourceClaimTemplate, ResourceClaimTemplate
KIND_ResourceClass, KIND_ResourceClass, ResourceClass
KIND_ValidatingAdmissionPolicy, KIND_ValidatingAdmissionPolicy, ValidatingAdmissionPolicy
KIND_ValidatingAdmissionPolicyBinding, KIND_ValidatingAdmissionPolicyBinding,ValidatingAdmissionPolicyBinding
KIND_APIService, KIND_APIService, APIService
KIND_Binding, KIND_Binding, Binding
KIND_CertificateSigningRequest, KIND_CertificateSigningRequest, CertificateSigningRequest
KIND_ClusterRole, KIND_ClusterRole, ClusterRole
KIND_ClusterRoleBinding, KIND_ClusterRoleBinding, ClusterRoleBinding
KIND_ComponentStatus, KIND_ComponentStatus, ComponentStatus
KIND_FlowSchema, KIND_FlowSchema, FlowSchema
KIND_IPAddress, KIND_IPAddress, IPAddress
KIND_Lease, KIND_Lease, Lease
KIND_LocalSubjectAccessReview, KIND_LocalSubjectAccessReview, LocalSubjectAccessReview
KIND_Namespace, KIND_Namespace, Namespace
KIND_Node, KIND_Node, Node
KIND_PersistentVolume, KIND_PersistentVolume, PersistentVolume
KIND_PriorityLevelConfiguration, KIND_PriorityLevelConfiguration, PriorityLevelConfiguration
KIND_ResourceQuota, KIND_ResourceQuota, ResourceQuota
KIND_Role, KIND_Role, Role
KIND_RoleBinding, KIND_RoleBinding, RoleBinding
KIND_RuntimeClass, KIND_RuntimeClass, RuntimeClass
KIND_SelfSubjectAccessReview, KIND_SelfSubjectAccessReview, SelfSubjectAccessReview
KIND_SelfSubjectReview, KIND_SelfSubjectReview, SelfSubjectReview
KIND_SelfSubjectRulesReview, KIND_SelfSubjectRulesReview, SelfSubjectRulesReview
KIND_ServiceAccount, KIND_ServiceAccount, ServiceAccount
KIND_ServiceCIDR, KIND_ServiceCIDR, ServiceCIDR
KIND_StorageVersion, KIND_StorageVersion, StorageVersion
KIND_SubjectAccessReview, KIND_SubjectAccessReview, SubjectAccessReview
KIND_TokenRequest, KIND_TokenRequest, TokenRequest
KIND_TokenReview, KIND_TokenReview, TokenReview
KIND_NetworkPolicy, KIND_NetworkPolicy, NetworkPolicy
KIND_ResourceClaimParameters, KIND_ResourceClaimParameters, ResourceClaimParameters
KIND_ResourceSlice,KIND_ResourceSlice, ResourceSlice
metadata, metadata, -
METADATA_name, METADATA_name,
METADATA_namespace, METADATA_namespace, 
METADATA_labels, METADATA_labels, -
LABELS_key, LABELS_key, 
LABELS_value, LABELS_value,  
METADATA_annotations, METADATA_annotations, -
ANNOTATIONS_key, ANNOTATIONS_key, 
ANNOTATIONS_value, ANNOTATIONS_value, 
METADATA_deletionGracePeriodSeconds, METADATA_deletionGracePeriodSeconds, 
METADATA_finalizers, METADATA_finalizers,
METADATA_generateName, METADATA_generateName
METADATA_managedFields,METADATA_managedFields, 
METADATA_MANAGEFIELDS_apiversion, METADATA_MANAGEFIELDS_apiversion, 
METADATA_MANAGEFIELDS_fieldsType, METADATA_MANAGEFIELDS_fieldsType, 
METADATA_MANAGEFIELDS_fieldsV1, METADATA_MANAGEFIELDS_fieldsV1, 
METADATA_MANAGEFIELDS_manager, METADATA_MANAGEFIELDS_manager, 
METADATA_MANAGEFIELDS_operation, METADATA_MANAGEFIELDS_operation, 
METADATA_MANAGEFIELDS_OPERATION_apply, METADATA_MANAGEFIELDS_OPERATION_apply, Apply
METADATA_MANAGEFIELDS_OPERATION_update, METADATA_MANAGEFIELDS_OPERATION_update, Update
METADATA_MANAGEFIELDS_subresource, METADATA_MANAGEFIELDS_subresource, 
METADATA_MANAGEFIELDS_time, METADATA_MANAGEFIELDS_time, 
METADATA_ownerReferences, METADATA_ownerReferences, 
METADATA_OWNERREFERENCES_apiVersion, METADATA_OWNERREFERENCES_apiVersion, 
METADATA_OWNERREFERENCES_blockOwnerDeletion, METADATA_OWNERREFERENCES_blockOwnerDeletion, 
METADATA_OWNERREFERENCES_controller, METADATA_OWNERREFERENCES_controller, 
METADATA_OWNERREFERENCES_kind, METADATA_OWNERREFERENCES_kind, 
METADATA_OWNERREFERENCES_name, METADATA_OWNERREFERENCES_name, 
METADATA_OWNERREFERENCES_uid, METADATA_OWNERREFERENCES_uid, 
spec, spec, -
DeploymentSpec, DeploymentSpec, -
DEPLOYMENTSPEC_minReadySeconds, DEPLOYMENTSPEC_minReadySeconds, 
DEPLOYMENTSPEC_paused, DEPLOYMENTSPEC_paused, 
DEPLOYMENTSPEC_progressDeadlineSeconds, DEPLOYMENTSPEC_progressDeadlineSeconds, 
DEPLOYMENTSPEC_replicas, DEPLOYMENTSPEC_replicas, 
DEPLOYMENTSPEC_revisionHistoryLimit, DEPLOYMENTSPEC_revisionHistoryLimit, 
DEPLOYMENTSPEC_selector, DEPLOYMENTSPEC_selector, -
SELECTOR_matchLabels, SELECTOR_matchLabels, -
MATCHLABELS_key, MATCHLABELS_key,  
MATCHLABELS_value,MATCHLABELS_value, 
SELECTOR_matchExpressions, SELECTOR_matchExpressions, -
MATCHEXPRESSIONS_key, MATCHEXPRESSIONS_key, 
MATCHEXPRESSIONS_operator, MATCHEXPRESSIONS_operator, -
OPERATOR_in, OPERATOR_in, in
OPERATOR_notIn, OPERATOR_notIn, notIn
OPERATOR_exist, OPERATOR_exist, exist
OPERATOR_doesNotExist, OPERATOR_doesNotExist, doesNotExist
OPERATOR_gt, OPERATOR_gt, gt
OPERATOR_lt, OPERATOR_lt, lt
MATCHEXPRESSIONS_values, MATCHEXPRESSIONS_values, -
MATCHEXPRESSIONS_value, MATCHEXPRESSIONS_value, 
DEPLOYMENTSPEC_strategy, DEPLOYMENTSPEC_strategy, 
STRATEGY_type, STRATEGY_type, 
STRATEGY_TYPE_Recreate, STRATEGY_TYPE_Recreate, -
STRATEGY_TYPE_RollingUpdate, STRATEGY_TYPE_RollingUpdate, 
maxUnavailable, maxUnavailable, 
maxSurge, maxSurge, 
DEPLOYMENTSPEC_template, DEPLOYMENTSPEC_template, -
DEPLOYMENTSPEC_TEMPLATE_metadata, DEPLOYMENTSPEC_TEMPLATE_metadata, -
TEMPLATE_METADATA_name, TEMPLATE_METADATA_name,
TEMPLATE_METADATA_namespace, TEMPLATE_METADATA_namespace, 
TEMPLATE_METADATA_labels, TEMPLATE_METADATA_labels, -
TEMPLATE_METADATA_LABELS_key, TEMPLATE_METADATA_LABELS_key, 
TEMPLATE_METADATA_LABELS_value, TEMPLATE_METADATA_LABELS_value,  
TEMPLATE_METADATA_annotations, TEMPLATE_METADATA_annotations, -
TEMPLATE_METADATA_ANNOTATIONS_key, TEMPLATE_METADATA_ANNOTATIONS_key, 
TEMPLATE_METADATA_ANNOTATIONS_value, TEMPLATE_METADATA_ANNOTATIONS_value, 
TEMPLATE_METADATA_deletionGracePeriodSeconds, METADATA_deletionGracePeriodSeconds,
TEMPLATE_METADATA_finalizers, TEMPLATE_METADATA_finalizers
TEMPLATE_METADATA_generateName, TEMPLATE_METADATA_generateName, 
TEMPLATE_METADATA_managedFields, TEMPLATE_METADATA_managedFields, 
TEMPLATE_METADATA_MANAGEFIELDS_apiversion, TEMPLATE_METADATA_MANAGEFIELDS_apiversion, 
TEMPLATE_METADATA_MANAGEFIELDS_fieldsType, TEMPLATE_METADATA_MANAGEFIELDS_fieldsType, 
TEMPLATE_METADATA_MANAGEFIELDS_fieldsV1, TEMPLATE_METADATA_MANAGEFIELDS_fieldsV1, 
TEMPLATE_METADATA_MANAGEFIELDS_manager, TEMPLATE_METADATA_MANAGEFIELDS_manager, 
TEMPLATE_METADATA_MANAGEFIELDS_operation, TEMPLATE_METADATA_MANAGEFIELDS_operation, 
TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_apply, TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_apply, Apply
TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_update, TEMPLATE_METADATA_MANAGEFIELDS_OPERATION_update, Update
TEMPLATE_METADATA_MANAGEFIELDS_subresource, TEMPLATE_METADATA_MANAGEFIELDS_subresource, 
TEMPLATE_METADATA_MANAGEFIELDS_time, TEMPLATE_METADATA_MANAGEFIELDS_time, 
TEMPLATE_METADATA_ownerReferences, TEMPLATE_METADATA_ownerReferences, 
TEMPLATE_METADATA_OWNERREFERENCES_apiVersion, TEMPLATE_METADATA_OWNERREFERENCES_apiVersion, 
TEMPLATE_METADATA_OWNERREFERENCES_blockOwnerDeletion, TEMPLATE_METADATA_OWNERREFERENCES_blockOwnerDeletion, 
TEMPLATE_METADATA_OWNERREFERENCES_controller, TEMPLATE_METADATA_OWNERREFERENCES_controller, 
TEMPLATE_METADATA_OWNERREFERENCES_kind, TEMPLATE_METADATA_OWNERREFERENCES_kind, 
TEMPLATE_METADATA_OWNERREFERENCES_name, TEMPLATE_METADATA_OWNERREFERENCES_name, 
TEMPLATE_METADATA_OWNERREFERENCES_uid, TEMPLATE_METADATA_OWNERREFERENCES_uid,
DEPLOYMENTSPEC_TEMPLATE_podspec, DEPLOYMENTSPEC_TEMPLATE_podspec, -
PodSpec, PodSpec, -
PODSPEC_containers, PODSPEC_containers, 
CONTAINERS_name, CONTAINERS_name, 
CONTAINERS_image, CONTAINERS_image, 
CONTAINERS_args, CONTAINERS_args, 
CONTAINERS_ARGS_value, CONTAINERS_ARGS_value, 
CONTAINERS_command, CONTAINERS_command, 
CONTAINERS_COMMAND_value, CONTAINERS_COMMAND_value, 
CONTAINERS_env, CONTAINERS_env, 
CONTAINERS_ENV_name, CONTAINERS_ENV_name, 
CONTAINERS_ENV_value, CONTAINERS_ENV_value, 
CONTAINERS_ENV_valueFrom, CONTAINERS_ENV_valueFrom, -
configMapKeyRef, configMapKeyRef, -
CONFIGMAPKEYREF_name, CONFIGMAPKEYREF_name, 
CONFIGMAPKEYREF_key, CONFIGMAPKEYREF_key, 
CONFIGMAPKEYREF_optional, CONFIGMAPKEYREF_optional, 
fieldRef, fieldRef, -
FIELDREF_apiversion, FIELDREF_apiversion, 
FIELDREF_fieldPath, FIELDREF_fieldPath, 
resourceFieldRef, resourceFieldRef, -
RESOURCEFIELDREF_containerName, RESOURCEFIELDREF_containerName, 
RESOURCEFIELDREF_resource, RESOURCEFIELDREF_resource, 
RESOURCEFIELDREF_divisor, RESOURCEFIELDREF_divisor, 
secretKeyRef, secretKeyRef, -
SECRETKEYREF_key, SECRETKEYREF_key, 
SECRETKEYREF_name, SECRETKEYREF_name,
SECRETKEYREF_optional, SECRETKEYREF_optional,  
CONTAINERS_envFrom, CONTAINERS_envFrom, -
ENVFROM_configMapRef, ENVFROM_configMapRef, -
CONFIGMAPREF_name, CONFIGMAPREF_name, 
CONFIGMAPREF_optional, CONFIGMAPREF_optional, 
ENVFROM_secretRef, ENVFROM_secretRef, 
SECRETREF_name, SECRETREF_name, 
SECRETREF_optional, SECRETREF_optional, 
CONTAINERS_imagePullPolicy, CONTAINERS_imagePullPolicy, -
IMAGEPULLPOLICY_always, IMAGEPULLPOLICY_always, Always
IMAGEPULLPOLICY_never, IMAGEPULLPOLICY_never, Never
IMAGEPULLPOLICY_ifNotPresent, IMAGEPULLPOLICY_ifNotPresent, ifNotPresent
CONTAINERS_lifecycle, CONTAINERS_lifecycle, -
LIFECYCLE_postStart, LIFECYCLE_postStart, -
POSTSTART_exec, POSTSTART_exec, -
POSTSTART_EXEC_command, POSTSTART_EXEC_command, 
POSTSTART_sleep, POSTSTART_sleep, -
POSTSTART_SLEEP_seconds, POSTSTART_SLEEP_seconds,
POSTSTART_httpGet, POSTSTART_httpGet, -
POSTSTART_HTTPGET_host, POSTSTART_HTTPGET_host,  
POSTSTART_HTTPGET_httpHeaders, POSTSTART_HTTPGET_httpHeaders, -
POSTSTART_HTTPHEADERS_name, POSTSTART_HTTPHEADERS_name, 
POSTSTART_HTTPHEADERS_value, POSTSTART_HTTPHEADERS_value, 
POSTSTART_HTTPGET_port, POSTSTART_HTTPGET_port, 
POSTSTART_HTTPGET_path, POSTSTART_HTTPGET_path,
POSTSTART_HTTPGET_scheme, POSTSTART_HTTPGET_scheme, 
LIFECYCLE_preStop, LIFECYCLE_preStop, -
PRESTOP_exec, PRESTOP_exec, -
PRESTOP_EXEC_command, PRESTOP_EXEC_command, 
PRESTOP_httpGet, PRESTOP_httpGet, 
PRESTOP_HTTPGET_host, PRESTOP_HTTPGET_host, 
PRESTOP_HTTPGET_httpHeaders, PRESTOP_HTTPGET_httpHeaders, -
PRESTOP_HTTPHEADERS_name, PRESTOP_HTTPHEADERS_name, 
PRESTOP_HTTPHEADERS_value, PRESTOP_HTTPHEADERS_value, 
PRESTOP_HTTPGET_path, PRESTOP_HTTPGET_path, 
PRESTOP_HTTPGET_port, PRESTOP_HTTPGET_port, 
PRESTOP_HTTPGET_scheme, PRESTOP_HTTPGET_scheme, 
PRESTOP_sleep, PRESTOP_sleep, 
PRESTOP_SLEEP_seconds, PRESTOP_SLEEP_seconds, 
CONTAINERS_livenessProbe, CONTAINERS_livenessProbe, -
LIVENESSPROBE_exec, LIVENESSPROBE_exec, -
LIVENESSPROBE_EXEC_command, LIVENESSPROBE_EXEC_command, 
LIVENESSPROBE_failureThreshold, LIVENESSPROBE_failureThreshold, 
LIVENESSPROBE_grpc, LIVENESSPROBE_grpc, -
LIVENESSPROBE_GRPC_port, LIVENESSPROBE_GRPC_port, 
LIVENESSPROBE_GRPC_service, LIVENESSPROBE_GRPC_service, 
LIVENESSPROBE_httpGet,LIVENESSPROBE_httpGet, -
LIVENESSPROBE_HTTPGET_host, LIVENESSPROBE_HTTPGET_host, 
LIVENESSPROBE_HTTPGET_httpHeaders, LIVENESSPROBE_HTTPGET_httpHeaders, -
LIVENESSPROBE_HTTPHEADERS_name, LIVENESSPROBE_HTTPHEADERS_name, 
LIVENESSPROBE_HTTPHEADERS_value, LIVENESSPROBE_HTTPHEADERS_value, 
LIVENESSPROBE_HTTPGET_path, LIVENESSPROBE_HTTPGET_path, 
LIVENESSPROBE_HTTPGET_port, LIVENESSPROBE_HTTPGET_port, 
LIVENESSPROBE_HTTPGET_scheme, LIVENESSPROBE_HTTPGET_scheme, 
LIVENESSPROBE_initialDelaySeconds, LIVENESSPROBE_initialDelaySeconds, 
LIVENESSPROBE_periodSeconds, LIVENESSPROBE_periodSeconds, 
LIVENESSPROBE_successThreshold, LIVENESSPROBE_successThreshold, 
LIVENESSPROBE_timeoutSeconds, LIVENESSPROBE_timeoutSeconds, 
LIVENESSPROBE_tcpSocket, LIVENESSPROBE_tcpSocket, 
LIVENESSPROBE_TCPSOCKET_port, LIVENESSPROBE_TCPSOCKET_port, 
LIVENESSPROBE_TCPSOCKET_host, LIVENESSPROBE_TCPSOCKET_host, 
LIVENESSPROBE_terminationGracePeriodSeconds, LIVENESSPROBE_terminationGracePeriodSeconds, 
CONTAINERS_ports, CONTAINERS_ports, -
CONTAINERS_PORTS_containerPort, CONTAINERS_PORTS_containerPort, 
CONTAINERS_PORTS_hostIP, CONTAINERS_PORTS_hostIP, 
CONTAINERS_PORTS_hostPort, CONTAINERS_PORTS_hostPort, 
CONTAINERS_PORTS_name, CONTAINERS_PORTS_name, 
CONTAINERS_PORTS_protocol, CONTAINERS_PORTS_protocol, -
PROTOCOL_UDP, PROTOCOL_UDP, UDP
PROTOCOL_TCP, PROTOCOL_TCP, TCP
PROTOCOL_SCTP, PROTOCOL_SCTP, SCTP
CONTAINERS_readinessProbe, CONTAINERS_readinessProbe, -
READINESSPROBE_exec, READINESSPROBE_exec, -
READINESSPROBE_EXEC_command, READINESSPROBE_EXEC_command, 
READINESSPROBE_failureThreshold, READINESSPROBE_failureThreshold, 
READINESSPROBE_grpc, READINESSPROBE_grpc, -
READINESSPROBE_GRPC_port, READINESSPROBE_GRPC_port, 
READINESSPROBE_GRPC_service, READINESSPROBE_GRPC_service, 
READINESSPROBE_httpGet,READINESSPROBE_httpGet, -
READINESSPROBE_HTTPGET_host, READINESSPROBE_HTTPGET_host, 
READINESSPROBE_HTTPGET_httpHeaders, READINESSPROBE_HTTPGET_httpHeaders, -
READINESSPROBE_HTTPHEADERS_name, READINESSPROBE_HTTPHEADERS_name, 
READINESSPROBE_HTTPHEADERS_value, READINESSPROBE_HTTPHEADERS_value, 
READINESSPROBE_HTTPGET_path, READINESSPROBE_HTTPGET_path, 
READINESSPROBE_HTTPGET_port, READINESSPROBE_HTTPGET_port, 
READINESSPROBE_HTTPGET_scheme, READINESSPROBE_HTTPGET_scheme, 
READINESSPROBE_initialDelaySeconds, READINESSPROBE_initialDelaySeconds, 
READINESSPROBE_periodSeconds, READINESSPROBE_periodSeconds, 
READINESSPROBE_successThreshold, READINESSPROBE_successThreshold, 
READINESSPROBE_timeoutSeconds, READINESSPROBE_timeoutSeconds, 
READINESSPROBE_tcpSocket, READINESSPROBE_tcpSocket, 
READINESSPROBE_TCPSOCKET_port, READINESSPROBE_TCPSOCKET_port, 
READINESSPROBE_TCPSOCKET_host, READINESSPROBE_TCPSOCKET_host, 
READINESSPROBE_terminationGracePeriodSeconds, READINESSPROBE_terminationGracePeriodSeconds,
CONTAINERS_resizePolicy, CONTAINERS_resizePolicy, -
CONTAINERS_resizePolicy, CONTAINERS_resizePolicy, -
RESIZEPOLICY_resourceName, RESIZEPOLICY_resourceName, -
CONTAINERS_RESIZEPOLICY_RESTARTPOLICY_cpu, CONTAINERS_RESIZEPOLICY_RESTARTPOLICY_cpu, cpu
RESIZEPOLICY_restartPolicy, RESIZEPOLICY_restartPolicy, 
CONTAINERS_restartPolicy, CONTAINERS_restartPolicy, 
CONTAINERS_resources, CONTAINERS_resources, -
RESOURCES_request, RESOURCES_request, -
RESOURCES_limits, RESOURCES_limits, -
REQUESTS_cpu, REQUESTS_cpu, 
REQUESTS_memory, REQUESTS_memory, 
LIMITS_cpu, LIMITS_cpu, 
LIMITS_memory, LIMITS_memory, 
RESOURCES_CLAIMS_name, RESOURCES_CLAIMS_name, 
CONTAINERS_securityContext, CONTAINERS_securityContext, -
CONTAINERS_SECURITYCONTEXT_allowPrivilegeEscalation, CONTAINERS_SECURITYCONTEXT_allowPrivilegeEscalation, 
CONTAINERS_SECURITYCONTEXT_privileged, CONTAINERS_SECURITYCONTEXT_privileged, 
CONTAINERS_SECURITYCONTEXT_procMount, CONTAINERS_SECURITYCONTEXT_procMount,
CONTAINERS_SECURITYCONTEXT_readOnlyRootFilesystem, CONTAINERS_SECURITYCONTEXT_readOnlyRootFilesystem, 
CONTAINERS_SECURITYCONTEXT_runAsGroup, CONTAINERS_SECURITYCONTEXT_runAsGroup,  
CONTAINERS_SECURITYCONTEXT_runAsNonRoot, CONTAINERS_SECURITYCONTEXT_runAsNonRoot, 
CONTAINERS_SECURITYCONTEXT_runAsUser, CONTAINERS_SECURITYCONTEXT_runAsUser,
CONTAINERS_SECURITYCONTEXT_appArmorProfile, CONTAINERS_SECURITYCONTEXT_appArmorProfile, -
CONTAINERS_APPARMORPROFILE_localhostProfile, CONTAINERS_APPARMORPROFILE_localhostProfile, 
CONTAINERS_APPARMORPROFILE_type, CONTAINERS_APPARMORPROFILE_type, 
CONTAINERS_SECURITYCONTEXT_appArmorProfile, CONTAINERS_SECURITYCONTEXT_appArmorProfile, -
CONTAINERS_APPARMORPROFILE_localhostProfile, CONTAINERS_APPARMORPROFILE_localhostProfile, 
CONTAINERS_APPARMORPROFILE_type, CONTAINERS_APPARMORPROFILE_type, - 
CONTAINERS_APPARMORPROFILE_TYPE_LocalHost, CONTAINERS_APPARMORPROFILE_TYPE_LocalHost, LocalHost
CONTAINERS_APPARMORPROFILE_TYPE_RuntimeDefault, CONTAINERS_APPARMORPROFILE_TYPE_RuntimeDefault, RuntimeDefault
CONTAINERS_APPARMORPROFILE_TYPE_Unconfined, CONTAINERS_APPARMORPROFILE_TYPE_Unconfined, Unconfied
CONTAINERS_SECURITYCONTEXT_capabilities, CONTAINERS_SECURITYCONTEXT_capabilities, -
CONTAINERS_CAPABILITIES_add, CONTAINERS_CAPABILITIES_add, -
CONTAINERS_addedCapabilities, CONTAINERS_addedCapabilities, 
CONTAINERS_CAPABILITIES_drop, CONTAINERS_CAPABILITIES_drop, -
CONTAINERS_removedCapabilities, CONTAINERS_removedCapabilities
CONTAINERS_SECURITYCONTEXT_seLinuxOptions, CONTAINERS_SECURITYCONTEXT_seLinuxOptions, -
CONTAINERS_SELINUXOPTIONS_level, CONTAINERS_SELINUXOPTIONS_level,
CONTAINERS_SELINUXOPTIONS_role, CONTAINERS_SELINUXOPTIONS_role,
CONTAINERS_SELINUXOPTIONS_type, CONTAINERS_SELINUXOPTIONS_type,  
CONTAINERS_SELINUXOPTIONS_user, CONTAINERS_SELINUXOPTIONS_user, 
CONTAINERS_SECURITYCONTEXT_seccompProfile, CONTAINERS_SECURITYCONTEXT_seccompProfile, -
CONTAINERS_SECCOMPROFILE_localhostProfile, CONTAINERS_SECCOMPROFILE_localhostProfile, 
CONTAINERS_SECCOMPROFILE_type, CONTAINERS_SECCOMPROFILE_type, -
CONTAINERS_SECCOMPROFILE_Type_LocalHost, CONTAINERS_SECCOMPROFILE_Type_LocalHost, LocalHost
CONTAINERS_SECCOMPROFILE_Type_RuntimeDefault, CONTAINERS_SECCOMPROFILE_Type_RuntimeDefault, RuntimeDefault
CONTAINERS_SECCOMPROFILE_Type_Unconfined, CONTAINERS_SECCOMPROFILE_Type_Unconfined, Unconfied
CONTAINERS_SECURITYCONTEXT_windowsOptions, CONTAINERS_SECURITYCONTEXT_windowsOptions, -
CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec, CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpec, 
CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName, CONTAINERS_WINDOWSOPTIONS_gmsaCredentialSpecName, 
CONTAINERS_WINDOWSOPTIONS_hostProcess, CONTAINERS_WINDOWSOPTIONS_hostProcess, -
CONTAINERS_WINDOWSOPTIONS_runAsUserName, CONTAINERS_WINDOWSOPTIONS_runAsUserName, 
CONTAINERS_startupProbe, CONTAINERS_startupProbe, -
STARTUPPROBE_exec, STARTUPPROBE_exec, -
STARTUPPROBE_EXEC_command, STARTUPPROBE_EXEC_command, 
STARTUPPROBE_failureThreshold, STARTUPPROBE_failureThreshold, 
STARTUPPROBE_grpc, STARTUPPROBE_grpc, -
STARTUPPROBE_GRPC_port, STARTUPPROBE_GRPC_port, 
STARTUPPROBE_GRPC_service, STARTUPPROBE_GRPC_service, 
STARTUPPROBE_httpGet,STARTUPPROBE_httpGet, -
STARTUPPROBE_HTTPGET_host, STARTUPPROBE_HTTPGET_host, 
STARTUPPROBE_HTTPGET_httpHeaders, STARTUPPROBE_HTTPGET_httpHeaders, -
STARTUPPROBE_HTTPHEADERS_name, STARTUPPROBE_HTTPHEADERS_name, 
STARTUPPROBE_HTTPHEADERS_value, STARTUPPROBE_HTTPHEADERS_value, 
STARTUPPROBE_HTTPGET_path, STARTUPPROBE_HTTPGET_path, 
STARTUPPROBE_HTTPGET_port, STARTUPPROBE_HTTPGET_port, 
STARTUPPROBE_HTTPGET_scheme, STARTUPPROBE_HTTPGET_scheme, 
STARTUPPROBE_initialDelaySeconds, STARTUPPROBE_initialDelaySeconds, 
STARTUPPROBE_periodSeconds, STARTUPPROBE_periodSeconds, 
STARTUPPROBE_successThreshold, STARTUPPROBE_successThreshold, 
STARTUPPROBE_timeoutSeconds, STARTUPPROBE_timeoutSeconds, 
STARTUPPROBE_tcpSocket, STARTUPPROBE_tcpSocket, 
STARTUPPROBE_TCPSOCKET_port, STARTUPPROBE_TCPSOCKET_port, 
STARTUPPROBE_TCPSOCKET_host, STARTUPPROBE_TCPSOCKET_host, 
STARTUPPROBE_terminationGracePeriodSeconds, STARTUPPROBE_terminationGracePeriodSeconds,
CONTAINERS_stdin, CONTAINERS_stdin, 
CONTAINERS_stdinOnce, CONTAINERS_stdinOnce
CONTAINERS_terminationMessagePath,CONTAINERS_terminationMessagePath, 
